MIR21	IL1R1	TRIT1
EFR3A	MCMBP	HIGD1A	OPN3
NINJ2	EXOG
AREL1	DTX2
TYMP	MED8
TNFAIP2	ARHGEF9
GYPC	SPHK1	LOC100510678
HSD17B11	ARHGAP19
TSC22D3	SIRPA
OSBPL9	WDR26	PNRC1
HN1	ATF6
OSBP2	AF131844
CA1	TBC1D19
RNF139	TOR1AIP1	SAMSN1	MTMR6	GK
MYCBP2	CELF2	FCHSD2	FBXO38	HIPK1	MARCH6	ZFC3H1
WNK1	FAM20B
CHST15	HIST1H1C
SMEK1	FCAR	MXD1	PNO1
NFIX	PEG10
SYNCRIP	H2AFV	RASA1	DMXL2	ITGA4	ZNHIT3
CYB5R4	LEMD3	INTS3
TNFAIP8	WDR3	C6orf120	KRIT1
208045_at	AGO3
210500_at	MGC12488
217000_at	AL080233
220702_at	CCDC181
AA243143	PSMD5
ABCC9	TMEM199
ADAMTS3	RND2
ADM	SLC2A14
AEN	EGR2
AF043584	PPFIA1
AF116659	HSPB8
AF119897	TMPRSS11D
AFF1	WDR48
AI424872	GJC1
AK023895	FASTKD2
AL049314	MLANA
AL050065	WEE1
AL133075	CMA1
AL137435	AU148255
AMIGO2	ZNRD1-AS1
ANKS1B	SOD3
ANXA2P1	PPP3CC
APC2	ACP2
APOO	SPA17
ARL1	CPB2
ATAD2	PANX1
ATG2B	LMAN1
AU144530	DLK1
BCHE	CDC7	RCL1
BCL11A	ASXL1
BET1L	CAMK1D
BLNK	SYN1
BMP10	PAQR3
BORA	NPPB
BTNL2	GPR107
C11orf73	MUL1
C1orf95	HDAC7
CA3	RAD54L
CAMK2N1	PLXDC1
CAMP	PFDN1
CARF	CFB
CATSPERG	GOLGA2P5
CCDC30	NR2E1
CCDC88A	CATSPER2P1
CCL21	MEP1B
CCNA2	THRB
CDHR1	AK024915
CENPI	GBA3
CKM	ESR2
CLCN3	LOC100288939
CNKSR1	CTAGE9
COL16A1	ZNF384
CRTAM	SLITRK3
CT55	MED22
CTSL	CRYZ
CXorf21	FAM57A
DAZ4	STAG3
DDX47	ADO
DLEU2L	MYH6
DOLK	VCPIP1
DSCAM	FAM107A
DSTNP2	PTPRK
DUX4L2	LOC100510581
EFNB3	MAGEA5
EGLN1	STX11
EIF3I	BCAP31
EIF4ENIF1	RABGGTA
EIF6	RANBP3
EP400	GAL3ST4
EPHA7	DDX6
F2R	GNPTAB
FAM118A	CENPO
FAM124B	HSD17B3
FAM134B	KLK6
FBXL15	NSUN5P1
FBXO34	TTLL1
FCER1A	CPA3
FCN3	GPR153
FLJ10038	GKN1
FOXA1	FNBP1L
FOXC2	CNOT7
FZD6	LOC100506123
GDF2	HYOU1
GFI1	FUBP1
GHR	PRRG2
GNA14	MYT1L
GOLGA1	THBS3
GRAMD1C	CDKN2D
