PIGB	KIR2DS4
CEACAM6	FAM13A
AK000144	PTPN4
TRAF2	SPRYD7
LZTS1	GLUD2
AF202635	THSD7A
LGALS3	LOC100288069
TRAPPC2P1	CCNB1IP1
ERCC2	GNLY
BG025063	EP300	MYH15	SAT1
CCHCR1	PDHB
SLC25A31	GDF9	CYP2R1
CYB5R4	C11orf71
ZNF471	LRRC37A4P	CLCN2
MICAL2	FAM134A
CREM	CCNL1
ACOT11	ABCB11	TEX41
DPAGT1	AVPR1B
IDI1	POLR2F
MAGEB3	NELFE
LY6H	PDE4DIP
PTP4A1	EXOG	PGAM2
ATP1A1	DIP2C
CCBL1	PIK3CG
LOC399491	CLCN7
PHLPP1	CIDEC
PREP	CSK	OGFOD1
RARS2	AF131777
S100A11	RAC1
SHC1	CARS2
SLC17A7	GRINA
TRIM38	GFPT1
ZNF322P1	BRWD1
ZNF335	PRRG3
SEC14L4	LANCL2
NIN	PDE1A
SMC3	ANXA2P1
PRDM1	TXLNG
ANK1	LSM14B
PIGZ	CHRNB2
LOC727751	PANX1
BLVRB	SLC22A7	UBB
AL049328	GRIA4
TSPAN5	BAG1
FOXA2	ZSWIM8	EXTL2
LRRC40	EML2
ZNF532	EXOG	PGAM2
FLJ11292	ESM1
PSMF1	LSM14B
TXNIP	SRPK2
MAPKAPK5-AS1	ITFG1
OAZ1	EPN1
PRDX4	MIS18A
SEC62	ANP32B
PDE6B	EIF2S3
AHSP	FIS1	STOM
ZNF271	PTBP2	PSPN
RPL10L	RIC8B	FUBP3	NIN
MAP3K8	FABP3
CATSPERG	ADAMDEC1	PDE4DIP
SAPCD1	C6orf15
CNOT3	SMC5
CHMP2B	RPL13P5
HIST1H4L	AK023838
ALK	KIAA1549L
NUP62	PPP4C
GREM2	GPR39
MAP1LC3B	SERPINE1
NPTX2	TBC1D12	GRIA1
AU145365	IL18RAP	LRRC37A4P
THG1L	LTB4R
PIWIL1	IL13RA2
EPHA7	STAG1
NRDE2	FDXR	DAK
SETP4	EIF4EBP2
APLNR	GNMT	APC
TNNI3K	ERO1L
RPS6KB1	ERCC8
COPG2IT1	IVL	CDCP1
SLC15A1	HIST1H2BM
PCNXL4	PDHB
STX7	CLK4
GINS3	MICAL3	HGC6.3
ZRSR1	FAM186A	CAPN10
RPIA	KRT1	ANK1	MARCH8	PSMF1	DMTN	SLC6A8	BCL2L1	SELENBP1	MPP1	SNCA
HDHD3	MDFIC
RFC4	CDC6
ELAVL3	SMTN
POLR2J4	TNNI3
AL109726	TSGA10
HAX1	AL080082
RWDD2A	SP100
PLEKHS1	AB051438
CCNL2	SLC25A30
Z23022	SERPINB4	DRG2
GSTZ1	CCR6
J04168	LMO7
CYP1A1	C7orf49	MAGEB3
ACE2	CCDC68
ZCCHC2	TBC1D12	GRIA1
EMC2	SLC13A1	ZNF143
PQBP1	ARID5A
LOC100506002	LRRC16A
PSMA4	TFAP2B
ARSF	HEG1
ITPKA	BAI1
THSD1P1	COL19A1
POLR1C	SSR2
AIM1L	ENPEP
EHMT1	MOG	SIGLEC15
ACLY	ERCC8
RPS27	ZNHIT3	CASP3
MBTPS2	STX11
MXD1	SFXN1
ANKRD7	ATRN
DOCK4	NAB1
PHYH	MRPL44
SLC5A7	C6orf15
EDC3	TTC33	SHH	DERL2	PRPF4B
ANGPTL4	ZNF593
ZCCHC10	MTMR6	IFRD1	PPM1B	KCTD17
CBLL1	ZSWIM8	EXTL2
AK023852	ZNF710
SLCO2B1	VPRBP
RPSA	RGPD6
CDADC1	FGF23
LHCGR	AVPR1B
SPI1	CD33
MYH11	LTB4R
LIN7C	KCNB2
GTF3C3	NSUN5P1
FRMD4A	TSSK2
CD9	SP3P
RPL35A	LSM7
SLC30A5	PDE3A
RBPJL	MICA
TBK1	HAT1
FAM3A	POLR3F
HAS2	CALY	TAX1BP1
RNF41	TMEM184B	SH3TC2	CATSPERG
STK32B	SMEK1	CREB1
DCAKD	MFN1
NPR2	POLR3F
SLC12A1	RAB15
ANKRD36	M6PR
SOX30	PPM1G	TIMM44
LOC652346	HOXB6
PEX11A	ZNF710
RARA	FAM205B
CDH19	RFXANK
HRH2	S100P
AL050042	FRZB	SSTR3
RND2	SMAD6	SSTR3
CELA2A	ZNF710	PTPN11
RAB27B	POLD1	DGKG
PON2	MEF2C
FEZF2	SGSH
DIAPH2-AS1	RCOR3
MMP14	SEMA4G
WISP1	ZNF335
KIR2DS5	SDHC
MEFV	MICAL3
MLNR	LGR5
FAM47E	GLMN	ZEB1
RAB11B	GLMN	MAGEB3
MED6	SS18L2
KHDRBS2	AMPD3
KCNJ6	ANKMY1
PTRF	PFKFB2
LIPF	ELK4
PHTF2	MSL2
SLC52A1	ACTN2
CLIP4	TMEM177
RNF19A	AVPR1B
CABP2	CCDC181	FAS
HIST1H3D	ZNF143	ALDH1A1
GALNT14	TBXAS1
IL7	OARD1
KIAA1033	MUC7	GK	KLHL2
TRIM17	ZNF335
NDUFC1	KLF2
NPIPB3	EBLN2	POLD1	NUBP2
RBM48	FRZB
PLCL2	TREX1
MYO6	TENM3
PFDN4	CXCR5
BF509345	KRTAP1-1
YPEL5	ADAM8	ST14
RPS20	LAPTM4A
SDC1	C7orf49	PLG
MAP2K7	KCNF1	CYP2R1
GADD45GIP1	F13B
GDAP1	ERO1L
GNRH1	MICAL3	HGC6.3
EFCAB1	PPM1G	TIMM44
HOMER3	ALOX15	F8
ADRB3	C7orf69	HGC6.3	XIAP
HLA-DMB	HLA-DRB5	HLA-DRB4
LMAN2	PMM2
DUX4L8	CBX2
G3BP1	LOC100510581
IRAK1	BLK
RECQL4	MYC	W87688
SCAI	DGAT1
PSCA	SAP30L
IQCE	PRPF4	FPGS
MCFD2	AA621286	PHF7
MBNL2	ITGAV	CYP2C19
RPL27	NDUFA4	DIXDC1
ASIC3	THSD7A	AF202635	MPC1
DOC2A	PCBP3
NUSAP1	WDR46	DEPDC5
NECAB3	BNIP3
FAM189A1	CBX2	CALB1	VSIG10
BAI3	KCNF1	CYP2R1
POLH	DDX54
CDC42	NUBP2	CBX3
CELA2B	TRPC2
AF052140	ULK2
GSC2	TEFM
NUDT15	NPPA
SEPT8	WDR41	MAGEB3	FUBP3
KLHL7	UTP3	ZKSCAN7
ICOS	DENND3
PIK3CA	KXD1
BAX	XCL1	THAP11
OSR2	FGF13
GPR27	ADIRF
NTN3	C22orf46
SLC25A5	WBP1L	POGLUT1
NPTX1	PDHX
B4GALT3	PRKAR2B
SNX24	CBX2	VSIG10	CALB1
TTK	ADAM22
CCL22	PLCB1
RGS6	DOPEY2	STAMBPL1
AW975117	CCDC91
CYP2B7P	U00956	CNTNAP2
DCN	STAG3
IGHV4-31	MRAS
LOC100508797	ID1
ROR2	TCEB2
GRM5	ALG3	ATP5G2P1
RHCG	HOXA3	HPSE2
TCP11L1	PIGC
CHPT1	METTL2A
SELT	LSM3
ATF3	CENPQ
AB016900	RNFT1
HBQ1	ZP2
SNAI2	AK025194
ZNF93	FCAR
RFX3	OPTN
AL117546	UNGP2
ERMAP	SDHB
LINC00939	CD1E
DONSON	EPAS1
DAG1	CDC42BPA
AVIL	KRT23
MBTD1	WTAP	IMPA1
SCN8A	PRDM12	PIAS2
SLC2A8	PRDM4
ZNF665	FAM149A
BORA	EMC8
CDA	IFNGR2	LILRB3
MYL5	CLMN
POLR3E	SEC61A1
TBX5	C10orf12
SMAD5-AS1	IGF1	SPINT3
AK022473	CEP104
NFKB2	KCNF1	CYP2R1	MPZL2
TRBC2	RWDD2A	AFAP1	SNAI2
FLJ11710	AL049342
TIMM23	PCDHA2
CSHL1	FBXO2
ATP8B3	OSGEP	XIAP
RRAGB	ABCA12
ZBTB11	BRWD1
LOC100506935	ABHD3
EIF3F	RPL18	CDC123
CNKSR2	HMG20B
MYL4	AL110206
ZNF550	PPM1G	TIMM44
DIRAS2	PPP4C
FETUB	PKP3
GNAI1	TFAP2B
ACAT1	CHI3L2	MDH1
AKAP13	SUV420H1	SCAF11
AVEN	MST1R	PCDHA3
BRCC3	ADAMDEC1
DLEC1	STON1	NCAPH
KCMF1	OPTN
ORC4	ADAM10
PFKP	DAP3
SYNPO2L	GFM1
TRIM6-TRIM34	CXCR1
TAS2R10	SAE1
DUSP21	RNF146
CCDC82	PDGFRA	AL050065
LIN7B	TUSC2
VNN2	GAB2
TAS2R13	MS4A4A
ACTR6	BET1
KIF20A	COPS6	HSPBP1
GLI1	GSC2
GSK3B	EIF2S3
F2	TMEM11
TMOD3	TNFRSF11B	LPO
FHOD3	AK023838
CD79B	ACADM	FER
LOC729164	FARP2	PSKH1
ACOX1	CD86
C9orf78	SLC29A3
ZBTB6	CCNB1IP1	AES	MED28
AW979196	ALX1
SMARCB1	AMELX
HSPG2	CYP24A1
TYMP	OR2W1
CD58	CSNK1A1	CAB39	VBP1
C11orf1	MAD2L1BP
AI742901	DIAPH2-AS1
LINC00115	C6orf15
METTL5	TMA7	ATF4
BPGM	EMX1	GYPA
KCNN2	SMAD6	SSTR3
BCAS2	CBFA2T2
TRHR	COPG1
STAT4	PAIP1
LRCH4	SCYL3	NKX3-1
TNNI2	LOC100131532
DDN	S100PBP
TMSB4XP8	WDR46	DEPDC5
C4BPB	LIMD2
USB1	MRPL2	TNNT2
SLC25A40	CDK16
MPDZ	RDX
SNX3	PPP2R5B	SAA4
RAB13	FAIM2
SLC25A23	LYVE1
HOPX	KLRG1
EPO	AK024158
CAMK1D	PIGH
CALML5	FHL3	CDC20
RTCA	KLHL21
ANG	PANX1
ANAPC10	CLEC2D	GATC
ZNF446	GABBR2
SHPK	SEC24A
ZNF415	NT5E
FTCD	CNP
SLC12A8	GHRH	LOC1720
IGF2BP3	EXOG
APOC3	EIF2AK2	KDELC1
PI3	EMR2
PTMA	RALA
NFU1	CEP63	ARHGAP25
AGK	CUL5
BCAT2	NDUFS6	LOC100420758	KLK6
SLC31A1	FAM206A	AK024584
CPEB1	C9orf38
CAV2	DDX43	CLCN2
LRRC61	FUCA1
RPL23A	POLR3F	ACAD10
PHF14	PDE3A	KIF22
EPHA3	GABARAPL3	DR1
MAP7	TSSK2	CLPX
GMPR	GABARAPL2	FOXO3	ALAS2	SNX3	FOXO3B
CEP152	IFI35
NDUFA4L2	PTPN4
TMOD1	FAM13A	NPL
SLC1A5	FGF16
LPAR4	VWA7
CHAD	SORBS2
C1orf112	FEM1C
FLNC	EDN3
EGF	JRKL
TNP2	AV687010
CRLF1	GHRHR	MASP1
SMCO4	PIK3R5
FOSL1	ERO1L
RIC3	ZBTB17
LMAN2L	ICT1
LEPREL2	JTB
CLDN15	LRRTM2
TBX21	ATP1B3
DNAAF2	CD74
KCNC2	ZNF322P1	BRWD1
PHLDA1	B9D1
BANP	SDHB	PRPF31
TFAM	AL050053
EDRF1	SLC16A1
GTF2IRD2B	HIVEP3
SLC26A3	GRHL2
CASP7	FGF13
CDK5R2	ZBTB10	MSL2	PSG11
GSPT1	BAG1	CLCN3
ADNP2	PHLPP1
GPN2	ATP5C1
SPIDR	VPRBP
KCNN3	CASK
ABHD8	ZC4H2
ACSL4	AK024136
ADAP1	NRSN2
ADCY2	NEFH
AK025072	RCAN2
ALOX5	RTN1
ANGPT1	MID2
AQP3	LTB
C12orf43	ZBED4
CCNT1	HOOK1
CDH3	ROPN1B
CLEC1B	NCAM2
DYRK1A	TOPORS-AS1
DYRK3	ROPN1B
E2F6	NKX2-1	ANKEF1
EIF5A2	WDR62
EMC1	CYP4F2
EML4	LPHN2
FAM189B	TNKS2
GEMIN6	ACSF2	PAMR1	GBX1
INHBB	ACSM1	AK026694
KIF1C	PFDN6	ANKMY1
KRT5	XPA
MAPK4	RBP4
MAVS	TKTL1
METTL7A	ALLC
MKRN2	ATP5J
MOAP1	XPOT
MYO7A	DST
NDP	SMAD6
NFX1	DHRS7B
NTS	EVI5
P4HA1	FAM186A
PBXIP1	VAV1
PLEK	FZD4
PRKAR1B	SYBU
RFX2	AF119878
RP2	NOTCH3
RPL19	TOMM6
RPS4XP6	NXN
S100A13	TAB1
SAP30L-AS1	HSD17B7
SIGLEC7	OR2H2
SOX9	BATF3
TAF4B	NREP
TBCD	GSTM4
TGM3	VARS
TMEM39A	TMEM160
TYK2	DHTKD1
UBL3	CD302
UNC119B	LRIG1
URM1	MAPK1
WRAP73	WHSC1L1
ZC2HC1C	RIT1
ZFHX3	LOC93432
CTSG	PMM2
SCIN	MEF2C
TCP10L	FSCN1
KLKB1	DHRS12
C1S	ACTN2	GNMT
NUDT1	AL049342	AL049301
FKBP2	THSD7A	AF202635	MPC1
GATM	THNSL1
RMDN1	UBIAD1
PDE2A	MS4A1
ANTXR1	FAM186A
SNRNP35	ATP6V1H
GCNT1	MAP1LC3B
SEC22B	PHLPP1
PRDX3	KIAA1109
CDIP1	ING4
RABEP1	CCDC68
NCR1	KLHL24	IL19
NDC1	FDX1	ISG20
KIR2DL2	FAM13B
ZDHHC8P1	SENP6	ZFAND5
MYOM1	CEP83
GTPBP1	SECTM1
SLC6A3	LYVE1
CSNK1G3	RNASEH2A	GHRH
SS18	SEC14L1P1	SLC2A8
EIF4E	BF223370
FECH	RMND5A	GLUL	DMC1
RPS10	COPS5
NOL3	ADARB2	SAPCD1
FBXO7	GABARAPL2	STAU1	SNX3
SH3BGR	TFEB	DLG5	PRDM10
GPS1	FGF6	ACAD10
AGR2	NINJ2
ZNF44	MRPS2
RPAP2	TRA2A
UXT	COMMD9
GNB3	ADAM22
C12orf29	POP1	NOP16
AL117447	ZNF593
DCHS2	SEC61A2
ROM1	AK024455	TOMM40
PBK	HYAL4
ARNT2	STRN4	LOC81691
PHC3	TBC1D2	PLD1
SPRED2	LIPC	GHRH
AKT2	AK000847
AF118064	MKL1
JAK2	ECHDC1	ZNF93
SSX7	GK	KLHL2	AFF3	KIAA1033	RNF130	TMEM59L	ABHD5
ZNF430	CD5
SCNN1A	MUC7
HIST1H2BI	DKK3	NMT1
RPLP0P6	ATP5G2	RPL10
UGCG	BTNL2
MRPS33	HIPK3
MRPS7	AW973791
H3F3B	GPR65	HLA-DMB
RPL7A	COMMD3
PIGN	ZNF143	ALDH1A1
GPR52	WDR46	DEPDC5
AW576871	FLNB
MARK3	ELN
ZNF81	AK022363
KIF18B	WASF1
AF052090	CCDC90B	PALB2	ZFAND1
CHAT	AK000847
SMIM14	TTC33	SHH	DERL2
ZNF444	DONSON	EIF4E	CNKSR2
RPL12	CDC42SE1
AKAP6	NKX3-1
KCNK15	DIO1
B3GAT3	NDUFB7
DCAF15	CD1E
TACR1	XPNPEP3
UBE2W	ARID3B	KCTD17	PRDX3
FUS	CHKA
MZT2B	BAIAP3
CHP2	MYO7A	NUP155	GALNT14	ELAVL3
GNA13	KRT35	RASSF8
AF116715	GPX5
FAM107A	MDM1
IRF5	SLC50A1
DNA2	SLC41A3	FAIM2
HABP4	SMAD4
CHRM5	GDAP2
PIP4K2A	TMCC2
OR1A1	PPP1R9A
SLC39A8	SNRPC
RB1CC1	ALG3
CCDC144A	MAD2L1
BHMT2	AL080072	MMP10
KIR2DS2	CES1P1	VILL
SLC35C2	AW975117
UGT2A2	ERO1L
AF119888	P4HA1	FAM186A
SORBS1	HIST1H2AJ
TNXB	PCBP3	RBMS2
RPL38	RAB40A
COL9A3	LIMCH1	U50277	TTC9	WNT8B	AGR2
BAHD1	ORC4	FGFR1OP	PSMC6
STAB2	CBX5
HBD	GUK1	MYL4	WDR45	KLF1
ITGB3BP	ABCA12
RPL35	SNRNP35	SNRPA1
PRO2958	PYGO1
